id,split
611,test
612,train
613,train
614,test
615,train
616,test
617,test
618,train
619,test
620,train
621,train
622,test
623,train
624,test
625,train
626,train
627,train
628,train
629,train
630,train
631,test
632,train
633,train
634,test
635,test
636,test
637,train
638,train
639,test
640,train
641,test
642,test
643,test
644,test
645,train
646,train
647,test
648,train
649,train
650,train
651,test
652,train
653,test
654,train
655,test
656,test
657,test
658,test
659,test
660,train
661,train
662,test
663,train
664,test
665,test
666,test
667,train
668,test
669,train
670,test
671,train
672,test
673,test
674,train
675,test
676,test
677,train
678,test
679,test
680,train
681,train
682,train
683,train
684,train
685,train
686,test
687,test
688,test
689,test
690,test
691,test
692,train
693,test
694,train
695,train
696,test
697,test
698,train
699,test
700,test
701,test
702,test
703,test
704,train
705,test
706,train
707,test
708,train
709,test
710,train
711,test
712,train
713,train
714,train
715,test
716,test
717,test
718,train
719,test
720,train
721,train
722,test
723,test
724,test
725,test
726,train
727,train
728,train
729,test
730,test
731,test
732,train
733,test
734,test
735,train
736,test
737,test
738,train
739,test
740,test
741,test
742,train
743,train
744,train
745,train
746,train
747,test
748,test
749,test
750,test
751,train
752,test
753,train
754,train
755,test
756,train
757,test
758,test
759,test
760,train
761,train
762,train
763,test
764,train
765,test
766,train
767,test
768,train
769,test
770,train
771,test
772,train
773,train
774,test
775,train
776,train
777,train
778,test
779,test
780,test
781,test
782,test
783,test
784,train
785,test
786,train
787,test
788,test
789,train
790,train
791,train
792,test
793,test
794,test
795,test
796,train
797,train
798,test
799,train
800,test
801,train
802,train
803,train
804,test
805,train
806,test
807,train
808,train
809,train
810,test
811,train
812,test
813,test
814,train
815,test
816,train
817,train
818,test
819,train
820,train
821,train
822,train
823,train
824,test
825,test
826,test
827,test
828,train
829,test
830,test
831,test
832,train
833,test
834,train
835,train
836,test
837,train
838,train
839,train
840,test
841,train
842,test
843,train
844,train
845,test
846,train
847,train
848,test
849,test
850,test
851,train
852,test
853,train
854,train
855,test
856,test
857,test
858,test
859,test
860,test
861,test
862,test
863,train
864,test
865,test
866,train
867,train
868,test
869,train
870,train
871,train
872,test
873,test
874,train
875,test
876,test
877,test
878,train
879,train
880,train
881,test
882,train
883,test
884,train
885,test
886,train
887,test
888,test
889,train
890,train
891,test
892,test
893,test
894,test
895,train
896,train
897,test
898,test
899,test
900,test
901,test
902,test
903,train
904,train
905,test
906,train
907,test
908,train
909,test
910,train
911,train
912,train
913,train
914,test
915,test
916,train
917,test
918,test
919,train
920,train
921,train
922,test
923,train
924,test
925,test
926,train
927,test
928,train
929,train
930,train
931,train
932,test
933,test
934,test
935,test
936,test
937,train
938,train
939,train
940,train
941,train
942,train
943,train
944,train
945,test
946,test
947,train
948,train
949,test
950,train
951,test
952,test
953,test
954,test
955,train
956,train
957,train
958,test
959,test
960,train
961,test
962,train
963,train
964,train
965,test
966,train
967,test
968,train
969,train
970,test
971,train
972,train
973,train
974,train
975,test
976,test
977,test
978,train
979,train
980,train
981,test
982,train
983,test
984,test
985,test
986,test
987,test
988,test
989,test
990,test
991,train
992,train
993,train
994,test
995,train
996,test
997,test
998,test
999,test
1000,test
1001,test
1002,train
1003,test
1004,test
1005,train
1006,train
1007,test
1008,test
1009,train
1010,test
1011,train
1012,test
1013,test
1014,train
1015,train
1016,test
1017,test
1018,train
1019,train
1020,test
1021,train
1022,test
1023,test
1024,train
1025,test
1026,test
1027,test
